source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,trueteacher,true_nli,gpt-3.5-turbo,gpt-4-turbo,gpt-4o,minicheck-roberta-large,minicheck-deberta-v3-large,minicheck-flan-t5-large
Weekly Idol . The show is hosted by comedian Jeong Hyeong-don and rapper Defconn .,"""Weekly Idol"" is a show hosted by comedian Jeong Hyeong-don and rapper Defconn.",openai/gpt-4o,0.99974,0.81577,0.99649,1,1.0,1,1,1,1,1,1
The Mod Squad is an American crime drama series that ran on ABC from 1968 to 1973 .,The Mod Squad is an American crime drama series that aired on ABC from 1968 to 1973.,openai/gpt-4o,0.99963,0.6196,0.99706,1,1.0,1,1,1,1,1,1
"Palo Alto ( [ ˌpæloʊ_ˈæltoʊ ] ; [ ˈpalo ˈalto ] ; from palo , literally `` stick '' , colloquially `` tree '' , and alto `` tall '' ; meaning : `` tall tree '' ) is a charter city located in the northwest corner of Santa Clara County , California , in the San Francisco Bay Area of the United States .","Palo Alto, meaning ""tall tree,"" is a charter city in the northwest corner of Santa Clara County, California, located in the San Francisco Bay Area.",openai/gpt-4o,0.99935,0.92307,0.99746,1,1.0,1,1,1,1,1,1
"Sean Penn . He has won two Academy Awards , for his roles in the mystery drama Mystic River ( 2003 ) and the biopic Milk ( 2008 ) . Following his film debut in the drama Taps ( 1981 ) and a diverse range of film roles in the 1980s , including Fast Times at Ridgemont High ( 1982 ) , Penn garnered critical attention for his roles in the crime dramas At Close Range ( 1986 ) , State of Grace ( 1990 ) , and Carlito 's Way ( 1993 ) . He became known as a prominent leading actor with the drama Dead Man Walking ( 1995 ) , for which he earned his first Academy Award nomination and the Best Actor Award at the Berlin Film Festival . Penn received another two Oscar nominations for Woody Allen 's comedy-drama Sweet and Lowdown ( 1999 ) and the drama I Am Sam ( 2001 ) , before winning his first Academy Award for Best Actor in 2003 for Mystic River and a second one in 2008 for Milk . His fourth feature film , the biographical drama survival movie Into the Wild ( 2007 ) , garnered critical acclaim and two Academy Award nominations .","Sean Penn is an acclaimed actor who has won two Academy Awards for his roles in ""Mystic River"" (2003) and ""Milk"" (2008). He debuted in the film ""Taps"" (1981) and gained attention in the 1980s with roles in ""Fast Times at Ridgemont High"" (1982) and several crime dramas. He became a prominent leading actor with ""Dead Man Walking"" (1995), earning his first Academy Award nomination and the Best Actor Award at the Berlin Film Festival. Penn received additional Oscar nominations for ""Sweet and Lowdown"" (1999) and ""I Am Sam"" (2001) before winning his first Oscar in 2003 and his second in 2008. His fourth feature film, ""Into the Wild"" (2007), also received critical acclaim and two Academy Award nominations.",openai/gpt-4o,0.9979,0.9846,0.9959,1,1.0,1,1,1,1,1,1
Nuuk ( [ nuːk ] ; Godthåb ) is the capital and largest city of Greenland and the municipality of Sermersooq .,"Nuuk, also known as Godthåb, is the capital and largest city of Greenland, located in the municipality of Sermersooq.",openai/gpt-4o,0.99936,0.89632,0.99719,1,1.0,1,1,1,1,1,1
"Paris (Paris Hilton album) . It also incorporates elements of other genres , such as reggae , soul and pop rock , in its production .","The album ""Paris"" by Paris Hilton incorporates elements of various genres, including reggae, soul, and pop rock, in its production.",openai/gpt-4o,0.99965,0.90832,0.99575,1,1.0,1,1,1,1,1,1
"`` Bad Romance '' is a song by American singer Lady Gaga from her third extended play , The Fame Monster ( 2009 ) . Following an illegal demo leak , Gaga showcased the final product at Alexander McQueen 's show at the Paris Fashion Week in October 2009 , followed by the release of the single 's cover art . It achieved worldwide success by topping the charts in a variety of markets , ultimately selling 12 million copies worldwide , thus becoming one of the best-selling singles of all time . Bad Romance (film) . title : Les Mauvais Romans ) is a 2011 independent drama film .","""Bad Romance"" is a song by American singer Lady Gaga from her third extended play, The Fame Monster (2009). After an illegal demo leak, Gaga premiered the final version at Alexander McQueen's show during Paris Fashion Week in October 2009, followed by the release of the single's cover art. The song achieved global success, topping charts in various markets and selling 12 million copies worldwide, making it one of the best-selling singles of all time. Additionally, ""Bad Romance"" is also the title of a 2011 independent drama film, ""Les Mauvais Romans.""",openai/gpt-4o,0.91513,0.95655,0.99185,1,1.0,0,1,1,1,0,0
Calcaneal spur . Calcaneal spurs are typically detected by a radiographic examination ( commonly referred to as an `` x-ray '' ) .,"Calcaneal spurs are usually identified through a radiographic examination, commonly known as an x-ray.",openai/gpt-4o,0.99959,0.91473,0.99767,1,1.0,1,1,1,1,1,1
"Star Trek: Discovery . It is the first series developed specifically for that service , and the first Star Trek series since Star Trek : Enterprise concluded in 2005 .","""Star Trek: Discovery is the first series developed specifically for its streaming service and the first Star Trek series since Star Trek: Enterprise ended in 2005.""",openai/gpt-4o,0.97884,0.58313,0.97936,1,1.0,1,1,1,1,0,1
Aparshakti Khurana . Khurana made his Bollywood debut with Aamir Khan 's `` Dangal '' . Dangal ( Wrestling competition ) is a 2016 Indian Hindi-language biographical sports drama film directed by Nitesh Tiwari .,"Aparshakti Khurana made his Bollywood debut in the 2016 Indian Hindi-language biographical sports drama film ""Dangal,"" directed by Nitesh Tiwari and starring Aamir Khan.",openai/gpt-4o,0.99741,0.94354,0.99618,1,1.0,1,1,1,1,0,1
"James VI and I ( 19 June 1566 -- 27 March 1625 ) was King of Scotland as James VI from 24 July 1567 and King of England and Ireland as James I from the union of the Scottish and English crowns on 24 March 1603 until his death . The kingdoms of Scotland and England were individual sovereign states , with their own parliaments , judiciary , and laws , though both were ruled by James in personal union . He was a major advocate of a single parliament for England and Scotland . James VI and I ( James Stuart ) ( 19 June 1566 -- 27 March 1625 ) , King of Scots , King of England , and King of Ireland , faced many difficulties with Parliament during his reign in England .","James VI and I (19 June 1566 – 27 March 1625) was King of Scotland as James VI from 24 July 1567 and King of England and Ireland as James I from 24 March 1603 until his death. Despite ruling both Scotland and England in personal union, the two kingdoms remained separate sovereign states with their own parliaments, judiciary, and laws. James was a strong advocate for a single parliament for both England and Scotland. Throughout his reign in England, he faced numerous challenges with Parliament.",openai/gpt-4o,0.97463,0.95356,0.99602,1,1.0,1,1,1,1,1,0
"Speech recognition ( SR ) is the inter-disciplinary sub-field of computational linguistics that develops methodologies and technologies that enables the recognition and translation of spoken language into text by computers . It incorporates knowledge and research in the linguistics , computer science , and electrical engineering fields . Speech recognition applications include voice user interfaces such as voice dialing ( e.g. `` Call home '' ) , call routing ( e.g. `` I would like to make a collect call '' ) , domotic appliance control , search ( e.g. find a podcast where particular words were spoken ) , simple data entry ( e.g. , entering a credit card number ) , preparation of structured documents ( e.g. a radiology report ) , speech-to-text processing ( e.g. , word processors or emails ) , and aircraft ( usually termed Direct Voice Input ) . The advances are evidenced not only by the surge of academic papers published in the field , but more importantly by the worldwide industry adoption of a variety of deep learning methods in designing and deploying speech recognition systems . These speech industry players include Google , Microsoft , IBM , Baidu , Apple , Amazon , Nuance , SoundHound , IflyTek , CDAC many of which have publicized the core technology in their speech recognition systems as being based on deep learning .","Speech recognition (SR) is a sub-field of computational linguistics that focuses on developing methods and technologies for computers to recognize and translate spoken language into text. It draws from linguistics, computer science, and electrical engineering. Applications of SR include voice user interfaces, call routing, appliance control, search, data entry, document preparation, speech-to-text processing, and aircraft control. The field has seen significant advancements, particularly with the adoption of deep learning methods by major industry players like Google, Microsoft, IBM, Baidu, Apple, Amazon, and others.",openai/gpt-4o,0.99954,0.98585,0.99657,1,1.0,1,1,1,1,1,1
"France's Dubuisson carded a 67 to tie with overnight leader Van Zyl of South Africa on 16 under par. McIlroy carded a third straight five under-par 67 to move to 15 under par with Thailand's Kiradech Aphibarnrat. The world number three's round included an eagle on the 12th as he bids to win his first title since May. ""The 67s I've shot this week have all been a little different and I feel like I've played within myself for all of them, "" said four-time major winner McIlroy of Northern Ireland. ""I feel there's a low round out there for me and hopefully it's tomorrow."" McIlroy was level par for the day after 10 holes, dropping his first shots of the week by three-putting the third and 10th, the latter mistake prompting the 26-year-old to throw his putter at his bag. But he hit back with a birdie on the par-five 11th and a towering four iron from 229 yards on the 13th set up an eagle from just four feet. The former world number one ruptured a ligament in his left ankle during a game of football with friends in July, ruling him out of several tournaments. But he returned in time to unsuccessfully defend his US PGA title at Whistling Straits in August and played in three of the FedEx Cup play-off events before starting the new PGA Tour season with a tie for 26th in the Frys.com Open in California. He is targeting a third Race to Dubai title in four years and leads England's Danny Willett by 271, 214 points with three events remaining after the Turkish Open. English pair Chris Wood (-13) and Richard Bland (-12) who were tied for second overnight are fifth and seventh respectively.","France's Dubuisson and South Africa's Van Zyl are tied at 16 under par, while McIlroy and Thailand's Aphibarnrat are at 15 under par. McIlroy, aiming for his first title since May, shot a third consecutive 67, including an eagle on the 12th. Despite some setbacks, McIlroy recovered with a birdie and an eagle. After an ankle injury in July, McIlroy returned to compete in several tournaments and is now targeting a third Race to Dubai title. English golfers Chris Wood and Richard Bland are fifth and seventh, respectively.",openai/gpt-4o,0.95503,0.94626,0.99077,1,1.0,1,1,1,1,1,0
"The Cherries went down 2-1 at Sunderland on Saturday, becoming the first team to lose to the Black Cats in the Premier League this season. Dan Gosling's goal, which gave them the lead, was their first for three games. ""It shouldn't be down to a lack of confidence,"" Howe told BBC Radio Solent. ""We scored six goals against Hull prior to these two games."" He continued: ""A couple of weeks later, if you were to put the chances we've created together into a clip sequence, the fact that we haven't even scored one goal is difficult to take."" Bournemouth were stunned by goals for Sunderland from Victor Anichebe and a Jermain Defoe penalty and they were unable to find an equaliser, even against 10 men following Steven Pienaar's dismissal. ""We've had enough chances to win three games today,"" Howe added. ""Sometimes football pans out that way and you have to accept it. It's how you move on from that which is key.""","Bournemouth lost 2-1 to Sunderland, marking Sunderland's first Premier League win of the season. Dan Gosling scored for Bournemouth, ending their three-game goal drought. Despite creating numerous chances, Bournemouth couldn't score again, even after Sunderland's Steven Pienaar was sent off. Manager Eddie Howe expressed frustration over missed opportunities but emphasized the importance of moving forward.",openai/gpt-4o,0.7426,0.3621,0.06759,0,1.0,1,1,1,0,0,0
"The first incident saw a 71-year-old woman from Sandyhills tricked by someone claiming to work for BT. Now a woman in Stranraer has lost money to a caller who said he was contacting her about problems with her internet. He claimed to be from BT technical support and gained remote access to her computer to take the cash. The Sandyhills incident happened on 15 September with the Stranraer con taking place seven days later. PC Siobhan Pellett said: ""The ease with which these people seem to be able to gain access to their victim's computer is frightening and the sums of money being taken are substantial. ""We are asking people to be very, very careful when answering a cold call from someone who tries to gain remote access to their computer in order to rectify an alleged fault. ""Our message is worth repeating once again that people should never, never give out any banking details or account numbers over the telephone. ""Banks, building societies and reputable businesses never ask for this information.""","Two incidents of fraud involving individuals impersonating BT technical support have been reported. A 71-year-old woman from Sandyhills was tricked on 15 September, and a woman in Stranraer was deceived a week later. The scammers gained remote access to their victims' computers and stole money. PC Siobhan Pellett warned about the ease with which scammers can access victims' computers and emphasized the importance of not sharing banking details or account numbers over the phone, as legitimate businesses do not request this information.",openai/gpt-4o,0.98997,0.96402,0.99341,1,1.0,1,1,1,0,0,1
