source,summary,model,HHEMv1,HHEM-2.1,HHEM-2.1-English,google/t5_11b_trueteacher_and_anli,google/t5_xxl_true_nli_mixture,gpt-3.5-turbo,gpt-4-turbo,gpt-4o,minicheck-roberta-large,minicheck-deberta-v3-large,minicheck-flan-t5-large
"Filipe Luis insists he wants to stay at Chelsea until the end of his contract, despite Atletico Madrid considering bringing him back in the summer. The full back signed a three-year contract when he moved from the Spanish champions last July, but has struggled to make the left back position his own at Stamford Bridge. Atletico hope that may give them leverage, but Luis said: ‘I’m happy at Chelsea. I want to stay at the club until the end of my contract.’ Filipe Luis insists he wants to stay at Chelsea (right), despite Atletico Madrid considering re-signing him . Luis played in Brazil’s friendly wins against France and Chile during the international break, but attentions now turn to the Premier League title run-in. And Chelsea manager Jose Mourinho is refusing to let his league leaders rest on their laurels until the job is done. ‘He always asks for everybody to be focused and concentrate in the matches and try to win every game we play,’ Luis added. ‘He always says that to us. He never says anything else. ‘It’s really difficult. We have nine really difficult games. We have to be better than ever but I think we’re prepared to cope with the hard situation that we have.’ The defender's attentions now turn to the Premier League having played for Brazil against France and Chile .","Filipe Luis, the Brazilian left-back, reaffirms his commitment to Chelsea, dismissing Atletico Madrid's interest in re-signing him. Despite a challenging season at Stamford Bridge, Luis expresses his desire to honour his three-year contract, citing his happiness at the club. With the Premier League title race intensifying, Luis acknowledges the difficulty of the remaining fixtures but believes Chelsea is prepared under the guidance of manager Jose Mourinho.",cohere/command-r-08-2024,0.91236,0.89224,0.88367,1,1.0,1,1,1,0,0,1
"Nathan Hughes on Friday night had his ban for accidentally knocking out George North sensationally over-turned on appeal, following an outcry on his behalf. The Wasps No 8 was initially suspended for three matches, after a disciplinary panel ruled he had been ‘reckless’ for failing to prevent his knee colliding with the head of the Welsh Lion, as he scored a try for Northampton on March 27. Hughes was shown a red card for the offence, but that dismissal has now been officially rescinded. Although it was accepted that there had been no intent, the Fiji-born player with England ambitions received a further sanction at the original hearing. Yet, in a stunning twist – and in light of fierce criticism – the ban was thrown out, as the appeal lodged by Wasps was up-held. Nathan Hughes's knee collided with George North's head as he crossed the line to score for Northampton . North was left out cold on the pitch at Franklin's Gardens and had to be taken off on a stretcher . It was the third time that the Wales and Lions winger had been knocked out in the space of two months . Fiji-born forward Hughes missed his side's Champions Cup quarter-final loss against Toulon last Sunday . North was left unconscious by the clash; a third blow to the head in the space of two months. He has since been advised to take a minimum of a month off from playing, to counter-act his concussion symptoms. Graphic, slow-motion footage of the incident at Franklin’s Gardens led some observers to condemn Hughes, but many more spoke up in his defence. Wasps were incensed that the forward had been suspended – and their dismay was shared by others outside the club. Captain James Haskell said: ‘Astounded would be an under-statement’, while fly-half Andy Goode added: ‘Really can’t believe or understand the ban for Nathan Hughes. There was no intent and I feel the accident has been judged on outcome.’ Former England player Austin Healey branded the sentence a ‘total joke’ and Harlequins captain Joe Marler echoed his sentiment, calling it an ‘absolute joke’. Hughes was sent off and then banned for three weeks following the incident on March 27 . Hughes missed his club’s Champions Cup defeat to holders Toulon last Sunday, as he awaited his appeal hearing. He is now free to return to action immediately, but he is not in the match-day squad for Wasps’ Aviva Premiership trip to London Welsh tomorrow and given the formality of a victory in that fixture, he is unlikely to play again until the visit of Exeter to Coventry on April 26. Jeremy Summers, chairman of the appeal hearing panel, said: ‘The appeal panel considered it appropriate to hear the matter afresh. Having done so and having had the advantage of evidence not before the original panel, it concluded that no act of foul play took place in that the incident occurred accidentally.’","Nathan Hughes, a rugby player for Wasps, had his three-match ban overturned on appeal after accidentally knocking out George North. The initial ban was criticised by many, including fellow players and former England player Austin Healey, who called it a 'joke'. The appeal panel reviewed new evidence and ruled that the incident was accidental, allowing Hughes to return to action immediately.",cohere/command-r-08-2024,0.97647,0.87867,0.98687,1,1.0,1,1,1,0,0,1
"(CNN)A fiery sunset greeted people in Washington Sunday. The deep reddish color caught Seattle native Tim Durkan's eye. He photographed a handful of aerial shots of the sunset warming the city's skyline and shared them on CNN iReport. The stunning sunsets were the result of raging wildfires in parts of Siberia. ""The dramatic sunsets began showing up over the weekend and had Seattle locals wondering where the amber-colored haze was originating from,"" Durken said. The fires were started in southeastern Siberia, by farmers burning grass in their fields. But on April 14, it is believed that the flames quickly grew out of control because of strong winds and spread throughout the region, according to CNN affiliate KOMO-TV. As a result, the fires have destroyed dozens of villages in the region. Rescue crews were able to put out the flames. However, the lingering smoke from the widespread fires were picked up by atmospheric winds. The winds carried the smoke from Siberia across the Pacific Ocean and brought it to the Pacific Northwest. Parts of Oregon, Washington and British Columbia are seeing the results of the smoke, wind and solar light combination. The reason people are seeing an intense red sunset is a result of smoke particles filtering out the shorter wavelength colors from the sunlight like greens, blues, yellows and purples, KOMO-TV said. That means colors like red and orange are able to penetrate the air unfiltered. The colors are especially intense during sunrises and sunsets because there is more atmosphere for the light to travel through to get to a person's eye. As the smoke starts to dissipate, air quality will get better and these fiery sunsets will lose their reddish hue.","A stunning sunset with deep red hues was observed in Washington, captivating Seattle resident Tim Durkan, who captured aerial photos. The intense colors were caused by wildfires in Siberia, where farmers' grass-burning activities led to uncontrollable flames due to strong winds. The resulting smoke, carried by atmospheric winds, reached the Pacific Northwest, creating a unique atmospheric phenomenon. The red color was intensified by smoke particles filtering out shorter wavelength colors, allowing red and orange hues to dominate during sunrises and sunsets. As the smoke clears, the sunsets will gradually return to their normal appearance.",cohere/command-r-08-2024,0.99698,0.68196,0.44035,1,1.0,1,1,1,1,1,1
"One Missouri mom is making the best out of a less than ideal situation. Becky Schoenig of St. Louis, Missouri was shocked when she realized her brand new 2015 Ford Fusion had been stolen from her driveway on Monday night, just a little over a month after she took the car home. Then, on April 1, Schoenig was shocked to learn that police had found her car after receiving a tip from a man who recognized the vehicle as Schoenig's and would be returning it to her - but with a few minor changes. Scroll down for video . Bling: Becky Schoenig was shocked when her stolen car was located and returned to her with new red rims and detailing (above) Theft: The brand new 2015 Ford Fusion (above) had been stolen from her driveway Monday . Racer: She took to Facebook after getting the car back, writing; 'I want to thank the car thieves for pimping out my vehicle for me.... This b***h is pimpin now!!!' As the car pulled up, Schoenig noticed that the rims had been spray painted red, there was red detailing on the sides of the car, and her steering wheel now had some orange accents. Rather than get upset however, she simply took to Facebook and posted a photo of her and her new ride, writing; 'I want to thank the car thieves for pimping out my vehicle for me.... This b***h is pimpin now!!!' She also attached a photo of the car which, given the date, many thought was a joke. It was not all 'lollipops and rainbows' though Schoenig told KSDK, and she is now getting the vehicle professionally cleaned to deal with the strong smell of cigarettes and marijuana. She is also creating a smoothie at the restaurant she owns, The Hot Pot, to honor Mick Sexton, the man who located her car and notified police. The Sexton on Wheels will feature banana, pineapple, peach and coconut cream. 'She's a very special person,' said Marlene Trice, a friend of Schoenig. 'She is vibrant and happy and really loves making people laugh.'","A Missouri woman, Becky Schoenig, had her new car stolen, but it was later recovered by police after a tip-off. The car was returned with some unexpected modifications, including red rims and detailing. Rather than being upset, Schoenig took it in her stride, thanking the thieves on Facebook for 'pimping out' her car. However, the car required professional cleaning due to cigarette and marijuana smells. Schoenig is also honouring the man who helped locate her car by creating a special smoothie named after him at her restaurant.",cohere/command-r-08-2024,0.99654,0.98087,0.99101,1,1.0,1,1,1,1,1,1
"Manchester City players will lose £500,000-a-man in bonuses if they fail to qualify for the Champions League this season. The Premier League title holders give star players like Sergio Aguero, David Silva, Joe Hart and Yaya Toure incentivised contracts to make sure the club stay within financial fairplay requirements and they will miss out on a big payday if City fail to reach the group stages of Europe's top competition. Manuel Pellegrini's lost to rivals Manchester United in the 169th Manchester derby at Old Trafford on Sunday with their European hopes still in the balance. Manchester City stars such as Sergi Aguero could miss out on £500k bonuses if they finish fifth . Manuel Pellegrini's team are on incentivised contracts to stay within financial fairplay rules . City are in fourth place and will be just four points ahead of main rivals Liverpool after defeat in the Manchester derby and if Brendan Rodgers' side beat Newcastle United on Monday. The top three finishers in the Premier League qualify automatically for the Champions League with the fourth-place team required to win a qualifying round to join them. In total, the City squad have around £12million resting on reaching their European target. Pellegrini has admitted City have let their season disintegrate after starting 2015 joint-top with Chelsea. They have subsequently lost seven times including early exits in the FA Cup and Champions League. Yaya Toure is another player who could miss out on a big payday if City fail to finish in the top four . Joe Hart and James Milner look dejected at the end of City's defeat to Crystal Palace last week . April 19 West Ham United (H) April 25 Aston Villa (H) May 3 Tottenham Hotspur (A) May 10 Queens Park Rangers (H) May 17 Swansea City (A) May 24 Southampton (H) 'In the last three months, we have thrown it into the garbage,' admitted the City manager. 'We are doing some things very badly, that’s why we must improve.' They now face a battle to sign world-class players like Juventus midfielder Paul Pogba who also interests United. Old Trafford boss Louis van Gaal saw his side go four points clear of City after the victory and is confident of adding top-class talent in the next transfer window. 'I don't have any doubt that players are coming to Manchester United,' he said.","Manchester City players face a significant financial loss of £500,000 each in bonuses if they fail to secure a Champions League spot for the upcoming season. This incentive is part of the club's strategy to comply with financial fair play regulations, with star players on incentivised contracts. Currently in fourth place, a recent loss to rivals Manchester United has put their European qualification hopes at risk. The top three Premier League teams automatically qualify, while the fourth-place team must win a qualifying round. The team's recent poor form, with seven losses and early exits from other competitions, has left their manager, Manuel Pellegrini, acknowledging the need for improvement. The financial implications extend to the potential difficulty in signing top players like Paul Pogba, who is also sought after by Manchester United.",cohere/command-r-08-2024,0.77399,0.97118,0.98843,1,1.0,1,1,1,1,0,1
"First blood to United after their Under 18s saw off City 1-0 in the 'mini-derby'. Kits aside, this was probably as far removed from Sunday's big match as you could imagine. For a start, no less than 13 out of the 22 players on show at kick-off were English. Of those, 10 were Mancunian. Callum Gribbin was the matchwinner for Manchester United with a delightful free-kick . Ticket prices? Entry was free and close to 1,000 gathered on the seats and terraces of Moss Lane for a match that kicked off at 3pm on Saturday with half-and-half scarves nowhere to be seen. Altrincham's compact 6,000-capacity home may not be Old Trafford, but it does have a proud history of its own. It was certainly a grander stage than a windswept Saturday morning on an outfield at United's Carrington complex, where Paul McGuinness's Under 18s usually ply their trade. The young Reds coach wanted to make the experience closer to what his tyros could expect should they make the step up to the seniors. And his side lined up with three at the back and supporting wingbacks in a formation seen more than once this season in the first team. In an even first-half the impressive Marcus Wood, from just down the road in Sale, came closest for City with an audacious chip. United manager Paul McGuinness saw his side claim victory in the 'mini derby' For the home side towering centre-forward Marcus Rashford, another local lad from whom big things are expected, wasted two decent opportunities when put through. Just before the hour mark England Under 17 star Callum Gribbin made and scored the first. In March, the nifty-footed attacking midfielder went viral when United tweeted a clip of him showing outrageous skills to trick four Aston Villa players. He was at it again here, showing nifty footwork on the edge of the box and drawing a foul. After dusting himself down Gribbin stepped up to curl a delightful free-kick around the wall and beyond blonde Joe Hart-a-like Charlie Albinson in the City goal. Moments later it was almost two when full-back Cameron Borthwick-Jackson's rasping 25-yard drive struck the angle of the crossbar and post. The same man looked to have gotten away with one when he appeared to clip Buckley in the box before sub Aaron Nemane hit the side-netting as the visitors looked for an equaliser. Dutch winger Javairo Dilrosun curled a free kick onto the roof of the net in stoppage time for City but that was all she wrote. The result leaves United, who have won two of this year's cross-town clashes, two points behind leaders Middlesbrough with a game in hand. Injury-ravaged City however, have now lost both matches in the Barclays Under 18s Premier League end-of-season play-off series. FA chief Greg Dyke recently bemoaned the lack of first-team opportunities for homegrown talent between the ages of 18 and 21. On the evidence of this entertaining 90 minutes high on skill and commitment, there are talents on both sides that may well deserve their chance in the On the evidence of this entertaining 90 minutes high on skill and commitment, there are talents on both sides that may well deserve their chance in the coming years.","In a match between the Under 18s of Manchester United and Manchester City, United won 1-0 thanks to a free-kick from Callum Gribbin. The game, played at Altrincham's Moss Lane, featured a high proportion of English and local players. United's victory puts them two points behind league leaders Middlesbrough with a game in hand, while City have now lost both of their end-of-season play-off matches. The match showcased the talent of young players on both sides, with several players impressing and potentially deserving future first-team opportunities.",cohere/command-r-08-2024,0.68428,0.96573,0.98749,1,1.0,1,1,1,1,0,1
"England ace Joe Hart labelled fellow goalkeeper Gianluigi Buffon a 'legend of the game' after seeing the Italian veteran claim his 147th cap. Hart, who passed an impressive milestone of his own by representing his country for the 50th time on Tuesday night, said after the 1-1 draw with Italy that Buffon was an inspiration. Speaking to FA TV, Hart said: 'I’m still learning my game and I’m still watching the likes of Buffon and the way he goes about his business at 37 years old. England and Manchester City goalkeeper Joe Hart has lavished praise on fellow goalkeeper Gianluigi Buffon . Hart has labelled Buffon, who won his 147th cap against England on Tuesday night, a 'legend of the game' 'I’ve got a lot more learning to do and I want to do it in this team. '[Buffon’s caps total] is a long way off, but it’s definitely a night to celebrate a terrific goalkeeper and a legend of the game, someone I personally look up to and it’s inspirational to see.' The Manchester City shot stopper, who is 10 years younger than Buffon, revealed his delight at receiving his 50th cap at the Juventus Stadium. 'I was proud of my first cap, I was proud to represent the Under 21s, and 50 caps at my age is good,' added Hart. 'I want to keep going, that’s not the end for me. I just want to keep going, keep playing well for my club and country and rack them up.' England ace Hart, pictured saving a shot by Citadin Eder, is desperate to add to his 50 international caps .","Joe Hart, the England and Manchester City goalkeeper, praised his Italian counterpart, Gianluigi Buffon, calling him a 'legend of the game' after Buffon earned his 147th cap in the 1-1 draw between England and Italy. Hart, who reached his own milestone of 50 caps, expressed his admiration for Buffon's longevity and achievements, considering him an inspiration at 37 years old. The younger Hart, celebrating his achievement at the Juventus Stadium, aims to continue representing his country and learning from veteran goalkeepers like Buffon.",cohere/command-r-08-2024,0.99806,0.97024,0.99291,1,1.0,1,1,1,0,0,1
"Mexican restaurant Chipotle has decided to tap into the $70 billion food delivery market by teaming up with an app to bring burritos straight to customers' doors. The fast-casual chain will work with the Postmates app to begin offering delivery for online and mobile orders in 67 cities, according to a report in Nation's Restaurant News. But Mexican food fans should know that the restaurant plans to add a nine per cent service charge - with the delivery fees for Postmates beginning at $5 and up, depending on distance and demand. New venture: Mexican restaurant Chipotle has decided to tap into the $70 billion food delivery market by teaming up with an app to bring burritos straight to customers' doors . Chipotle is thought to have turned down previous offers of collaboration with third-party delivery services - but has now given Postmates the green light, New York Daily News reports. The app hires independent contractors who drive their own cars in a similar model to Uber taxis. Chipotle has gone from strength to strength in recent years and this month two presidential candidates have been spotted in their restaurants. Republican contender Marco Rubio is a regular in the outlets and recently told MailOnline that he always tips staff. Cashing on delivery market: The fast-casual chain will work with the Postmates app to begin offering delivery for online and mobile orders in 67 cities . And just one day into her presidential campaign, Hillary Clinton was seen in a Chipotle in Maumee, Ohio where she ordered a chicken dish with guacamole, a chicken salad and fruit juice. Chipotle is not the only franchise hoping to cash in on the lucrative delivery market. Starbucks, which will deliver cups of coffee in parts of Seattle and New York by the end of the year, has also partnered with Postmates. Taco Bell recently announced plans to test a delivery service this year, McDonald's 'McDelivery' program is in the planning process and Burger King has launched a pilot program in select markets, including parts of New York City, through bkdelivers.com. Celebrity customers: Hillary Clinton was spotted ordering a meal at Chipotle in Ohio earlier this month - one day into her presidential campaign . Another candidate: Security camera footage obtained by conservative news publication IJ Review released online this month shows Florida senator Marco Rubio visiting a Washington, D.C. Chipotle .","Chipotle, a popular Mexican restaurant chain, is entering the food delivery market by partnering with the Postmates app to offer delivery services in 67 cities. This move comes as Chipotle aims to capitalize on the growing demand for food delivery, estimated to be a $70 billion market. Customers will incur a nine per cent service charge, in addition to delivery fees starting at $5, for the convenience of having burritos and other menu items delivered to their homes. Chipotle's decision to collaborate with Postmates, which operates similarly to Uber with independent contractors, follows the company's previous rejections of similar offers from other third-party delivery services. The restaurant's popularity is highlighted by recent visits from presidential candidates Marco Rubio and Hillary Clinton, who were spotted at Chipotle locations. Other major food chains, such as Starbucks, Taco Bell, McDonald's, and Burger King, are also exploring or have already launched their own delivery services to compete in this expanding market.",cohere/command-r-08-2024,0.99533,0.84502,0.96555,1,1.0,1,1,1,0,1,1
"(CNN)The parents of the youngest victim of the Boston Marathon bombings are making an emotional, passionate plea to take the death penalty off the table for the man convicted in the case. Last week, Dzhokhar Tsarnaev was found guilty on all 30 charges he faced related to the bombings at the 2013 race and the dramatic violence that dragged out for days afterward. A look at all of the charges . The sentencing phase begins Tuesday, a day after this year's edition of the landmark race. It is expected to last four weeks. The 13th Juror: Now it gets real . In a front-page opinion piece in The Boston Globe, Bill and Denise Richard wrote about the toll taken on their family after the death of their 8-year-old son, Martin. Their daughter, Jane, also was severely injured. ""Our family has grieved, buried our young son, battled injuries, and endured numerous surgeries -- all while trying to rebuild lives that will never be the same,"" they said in the Globe column titled ""To end the anguish, drop the death penalty."" ""We sat in the courtroom, day after day, bearing witness to overwhelming evidence that included graphic video and photographs, replicated bombs, and even the clothes our son wore his last day alive."" They said they understood the ""heinousness and brutality of the crimes committed."" ""We were there. We lived it. The defendant murdered our 8-year-old son, maimed our 7-year-old daughter, and stole part of our soul."" But now the Richards are urging the Justice Department to bring the case to a close. ""We are in favor of and would support the Department of Justice in taking the death penalty off the table in exchange for the defendant spending the rest of his life in prison without any possibility of release and waiving all of his rights to appeal,"" they wrote. They go on to say: ""We know that the government has its reasons for seeking the death penalty, but the continued pursuit of that punishment could bring years of appeals and prolong reliving the most painful day of our lives. We hope our two remaining children do not have to grow up with the lingering, painful reminder of what the defendant took from them, which years of appeals would undoubtedly bring."" Martin Richard and two others were killed and more 200 people wounded when a pair of bombs went off within 12 seconds of each other at the finish line on April 15, 2013. Tsarnaev was convicted last week, while his brother, Tamerlan, was killed in a shootout with police two years ago. The Richards never mention Tsarnaev by name. They stress that they were only speaking for themselves when they argue against the death penalty. ""We believe that now is the time to turn the page, end the anguish, and look toward a better future -- for us, for Boston, and for the country,"" they wrote.","The parents of Martin Richard, the youngest victim of the Boston Marathon bombings, have written an opinion piece in The Boston Globe, pleading for the death penalty to be removed as an option for the convicted bomber, Dzhokhar Tsarnaev. The parents, Bill and Denise Richard, who also had a daughter severely injured in the attack, express their understanding of the severity of the crimes but argue that pursuing the death penalty will prolong their anguish through years of appeals. They propose a life sentence without the possibility of release or appeal as an alternative, hoping to bring closure to the case and spare their remaining children from further pain.",cohere/command-r-08-2024,0.91095,0.96243,0.99261,1,1.0,1,1,1,0,0,1
"These extraordinary images show how an enormous jumbo jet has been converted into a luxury home for a mystery billionaire - complete with bedrooms, multiple lounges and an onboard restaurant. The custom-built Boeing 747 is believed to have cost its ultra-wealthy owner £400million after it was customised to fit his specifications exactly over a three-year period. The jumbo jet would normally carry as many as 600 passengers - but this version was built for just a single tycoon, although he will be able to fit dozens of guests. It contains a large dining room where travellers can enjoy meals cooked in an adjoining kitchen, with a lounge and 'state room' at the back of the plane. More sleeping space is provided in the 'aeroloft' on the top deck of the vessel, with eight full beds for passengers who prefer to get some shut-eye on flights. Luxury: This is the lounge on board a custom-built Boeing 747-8, as depicted in an artist's impression by Greenpoint Technologies . Shuteye: The master bedroom of the £400million plane has a huge bed as well as an armchair and sofa for when the owner needs to relax . Business: The conference room of the plane could be perfect for meetings in the sky with its long table in the centre . Chill-out: The lounge decor looks like a luxury hotel, belying its true location inside a plane similar to those used by commercial airlines . Executive: This room, which can be used as an office or a guest bedroom, gives a hint to its true location thanks to the porthole-style windows . Kicking back: The main suite could easily be mistaken for a room in a top hotel thanks to its over-the-top decorations . Restaurant: The central portion of the plane hosts a dining room which is attached to a kitchen, allowing the owner to make use of the services of a private chef . Shiny: The jumbo jet is one of the most luxurious private planes ever built, with the price tag believed to have reached a total of £400million . Sofa: Parts of the plane are set aside for guests to relax while watching television, as the vessel can carry several dozen passengers . Plush: Another artist's impression of the main state room, which also contains a desk so the owner can switch between work and relaxation . Welcoming: Images of the lounge show a space very different to the normal aeroplane cabin, with the traditional rows of seats completely discarded in favour of a hotel-like ambience . Exclusive: Few people can ever imagine flying in this sort of luxury - far more glitzy than first class on commercial flights . Plan: The layout of the Boeing 747 is shown in this plan published by Greenpoint Technologies . Gigantic: The luxury interior has been built inside a Boeing 747-8 similar to this one, which can hold up to 600 passengers .","A billionaire has transformed a Boeing 747 into a luxurious private residence, costing approximately £400 million. The customised jet features bedrooms, lounges, a dining room, kitchen, and even an onboard restaurant. This unique conversion provides the owner with a lavish living space, accommodating guests in style and comfort during flights.",cohere/command-r-08-2024,0.97022,0.96632,0.99324,1,1.0,1,1,1,1,1,1
"(CNN)SpaceX on Tuesday launched a two-stage Falcon 9 rocket carrying an uncrewed cargo spacecraft called Dragon on a flight from Cape Canaveral, Florida, to the International Space Station. That was the easy part. In a difficult bid to land a rocket stage on a floating barge for the first time, the private space exploration company  was unsuccessful. SpaceX founder Elon Musk tweeted: ""Ascent successful. Dragon enroute to Space Station. Rocket landed on droneship, but too hard for survival."" He later clarified that the rocket landed, but tipped over. SpaceX tried to land a Falcon 9 on the drone ship in January, but the rocket hit at an angle and exploded. SpaceX has said it will keep trying and, after it masters landing at sea, hopes to someday land rockets on the ground. Usually booster rockets burn up in Earth's atmosphere or, like NASA's space shuttle boosters, they fall back into the ocean. So why try to land one? Musk wants to cut costs. On his company's website, he says that if anyone can figure out how to ""reuse rockets just like airplanes, the cost of access to space will be reduced by as much as a factor of a hundred."" What about the rest of the rocket and the Dragon? The smaller, top part of the rocket will carry the Dragon into orbit and then break away from the cargo ship and burn up in Earth's atmosphere. The Dragon will dock with the space station a couple of days after launch to deliver more than 4,300 pounds (1,950 kilograms) of supplies, including research equipment and ISSpresso, an espresso maker that astronauts can use to make coffee and tea. The space station crew will spend about five weeks unpacking the Dragon. They'll then stuff it with over 3,000 pounds of science experiments, trash and other stuff to send back to Earth. When they're done, Dragon will leave the space station and mission controllers will guide it to splashdown in the Pacific Ocean off California. This is the sixth SpaceX mission to the International Space Station. The company was the first private space contractor to dock with the station. Tuesday's launch was the second attempt for this mission. Monday's planned launch was scrubbed due to weather. CNN's Catherine E. Shoichet contributed to this report.","SpaceX launched a Falcon 9 rocket with an uncrewed Dragon spacecraft towards the International Space Station, aiming to land the rocket stage on a floating barge. Despite a successful launch, the landing attempt was unsuccessful as the rocket tipped over. SpaceX's goal is to reduce space access costs by reusing rockets, with this mission being their sixth to the ISS. The Dragon carries supplies, including an espresso maker, and will return with science experiments and trash.",cohere/command-r-08-2024,0.94957,0.94727,0.97173,1,1.0,1,1,1,1,0,1
"Priscilla Presley will serve as a witness at the first wedding to be held at an all-new chapel of love in Las Vegas. The 69-year-old collaborated with NBC's Today show to launch a contest for one Elvis-obsessed couple to win the 'ultimate wedding'. The winning duo - announced next Monday - will tie the knot at Elvis Presley's Graceland Wedding Chapel inside the Westgate Hotel on Thursday, April 23. Novel idea: Priscilla Presley will serve as a witness at the first wedding to be held at an all new chapel of love in Las Vegas . Westgate, formerly the Las Vegas Hilton, is where Elvis performed more than 830 sold-out shows. Along with the singer's former wife in the audience, the winning couple will  win a free wedding reception and hotel suite for two nights. To top it off, airfares and concert tickets to the Elvis Experience theater show will also be thrown in. While Priscilla agreed to make an appearance, the woman who wed Elvis in 1967 made one thing clear before unveiling the latest wedding chapel to bear his name: No impersonators. 'This is all first-class,' she told the Associated Press recently. 'This is not a joke. The wedding chapel is not a joke.' The actress and business magnate has been involved in the look and feel of the chapel that officials say is part of the first permanent Graceland exhibit of the singer's artifacts outside his iconic Memphis, Tennessee, home. Couples wanting to be the first  to  wed at the Elvis Presley's Graceland Wedding Chapel must submit a video or photos along with an explanation detailing why they deserve the prize. Chapel of love: The winning duo - announced next Monday - will get married in the brand new Elvis Presley's Graceland Wedding Chapel (artist's rendering above) at the Westgate Hotel on Thursday, April 23 . Flashback: In this May 1, 1967, file photo, singer Elvis Presley, 32, and his bride, 21, the former Priscilla Beaulieu, appear at the Aladdin Hotel in Las Vegas, after their wedding .","Priscilla Presley, former wife of Elvis Presley, is set to witness the first wedding at a new Las Vegas chapel dedicated to Elvis. The wedding is part of a contest organised by NBC's Today show, offering an Elvis-themed wedding experience to one lucky couple. The wedding will take place at the Westgate Hotel, formerly the Las Vegas Hilton, where Elvis performed numerous sold-out shows. The winning couple will receive a free wedding reception, hotel suite, airfares, and tickets to an Elvis theatre show. Priscilla emphasised the chapel's authenticity, stating it is a first-class experience and not a joke. Couples must submit videos or photos with a description to enter the contest, with the winner announced next Monday.",cohere/command-r-08-2024,0.98951,0.96909,0.99152,1,1.0,1,1,1,1,0,1
"Liverpool vice-captain Jordan Henderson thinks his side could catch Manchester City in the Barclays Premier League having fought through a tough and long season at Anfield. Henderson and Liverpool goalkeeper Simon Mignolet both played their 47th game of season in the 2-0 win over Newcastle United on Monday night, equalling the record for appearances by any player in the top five European leagues so far this campaign. But the England midfielder believes that after finding winning form again following poor results against Manchester United and Arsenal, Liverpool can pile the pressure on to City who sit four points above them in the race for the Champions League. Liverpool vice-captain Jordan Henderson thinks his side could catch Manchester City in the  Premier League . Henderson played his 47th game of season in the 2-0 win over Newcastle United on Monday night . Manchester City have been faltering and lost 4-2 at Manchester United, Liverpool are four points behind . 'We knew it was an important game for us,' Henderson said 'Obviously the last couple of weeks in the Premier League have been disappointing both with performances and results. We knew today we needed to put that right and I think we did that with a great result for us. 'We've got ground to make up but we'll just keep going, keep winning in games and putting in performances. Come the end of the season, you never know.' Raheem Sterling pulled off some fine skill to open the scoring in the ninth minute at Anfield before Joe Allen capitalised on a defensive mistake to score his first Anfield goal with 20 minutes to go. Raheem Sterling pulled off some fine skill to open the scoring in the ninth minute at Anfield on Monday night . Joe Allen capitalised on a defensive mistake to score his first Anfield goal to make it 2-0 with 20 minutes to go . 'It was great to get that goal to give us that two-goal cushion,' Allen said. 'It wasn't my best game but I got the goal and helped the team. It was important after the defeats.' Newcastle had what looked a strong shout for a penalty when Dejan Lovren appeared to foul Ayoze Perez in the area, and Allen admitted he thought it was a spot-kick. 'I did get a good view of it as I'd missed the ball in the build-up,' he said. 'It look a good shout for a penalty, but I didn't get one the other night. These things happen.' Liverpool's players congratulate Allen on his goal that secured another vital win in the Premier League battle .","Jordan Henderson, Liverpool's vice-captain, believes his team has a chance to overtake Manchester City in the Premier League title race. Despite a demanding season, Liverpool remains in contention after a crucial 2-0 victory over Newcastle United, with Henderson and Simon Mignolet reaching 47 appearances this season. Liverpool's recent dip in form against Manchester United and Arsenal hasn't deterred Henderson, who remains optimistic about catching City, who are four points ahead after a loss to Manchester United. Raheem Sterling and Joe Allen's goals secured the win against Newcastle, with Allen acknowledging the importance of the result after recent setbacks.",cohere/command-r-08-2024,0.81397,0.97163,0.98691,1,1.0,1,1,1,1,1,1
